medicine_name,category,symptoms,cleaned_symptoms
Aspirin 22,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amlodipine 23,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Amoxicillin 24,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Paracetamol 25,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Levothyroxine 26,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Prednisolone 27,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Gliclazide 28,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Levothyroxine 29,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amoxicillin 30,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Paracetamol 31,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ibuprofen 32,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Metformin 33,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Atorvastatin 34,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Telmisartan 35,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Omeprazole 36,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Atorvastatin 37,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amoxicillin 38,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Aspirin 39,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Prednisolone 40,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Paracetamol 41,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Aspirin 42,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 43,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Atorvastatin 44,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amlodipine 45,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Atorvastatin 46,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Prednisolone 47,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Gliclazide 48,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ibuprofen 49,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amlodipine 50,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Ranitidine 51,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Omeprazole 52,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Telmisartan 53,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Paracetamol 54,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ibuprofen 55,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Levothyroxine 56,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Prednisolone 57,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Gliclazide 58,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Cetirizine 59,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Levothyroxine 60,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Aspirin 61,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 62,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 63,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Paracetamol 64,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ibuprofen 65,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Prednisolone 66,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Paracetamol 67,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Telmisartan 68,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Metformin 69,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Levothyroxine 70,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Omeprazole 71,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Prednisolone 72,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amlodipine 73,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Losartan 74,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Prednisolone 75,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Omeprazole 76,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Ibuprofen 77,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Metformin 78,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Amoxicillin 79,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 80,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Metformin 81,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Ibuprofen 82,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amoxicillin 83,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 84,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Aspirin 85,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Aspirin 86,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 87,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Losartan 88,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Omeprazole 89,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Aspirin 90,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amlodipine 91,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Gliclazide 92,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amlodipine 93,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Paracetamol 94,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Aspirin 95,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 96,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 97,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Prednisolone 98,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ranitidine 99,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 100,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Atorvastatin 101,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Gliclazide 102,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Paracetamol 103,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Aspirin 104,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Losartan 105,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Losartan 106,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Amoxicillin 107,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 108,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Cetirizine 109,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Losartan 110,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Levothyroxine 111,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Losartan 112,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Omeprazole 113,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Gliclazide 114,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amlodipine 115,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Levothyroxine 116,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ranitidine 117,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Telmisartan 118,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Ranitidine 119,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Amoxicillin 120,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Aspirin 121,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Losartan 122,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Amoxicillin 123,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Atorvastatin 124,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amoxicillin 125,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Atorvastatin 126,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Cetirizine 127,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amoxicillin 128,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 129,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Ranitidine 130,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Amoxicillin 131,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amoxicillin 132,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Ibuprofen 133,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Levothyroxine 134,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Aspirin 135,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Gliclazide 136,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Atorvastatin 137,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Levothyroxine 138,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amlodipine 139,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Aspirin 140,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Prednisolone 141,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amoxicillin 142,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Omeprazole 143,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Paracetamol 144,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Cetirizine 145,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Aspirin 146,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Cetirizine 147,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Levothyroxine 148,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Prednisolone 149,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ibuprofen 150,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Losartan 151,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Prednisolone 152,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ranitidine 153,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 154,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Omeprazole 155,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Atorvastatin 156,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Levothyroxine 157,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ibuprofen 158,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Omeprazole 159,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Losartan 160,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Atorvastatin 161,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Levothyroxine 162,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Aspirin 163,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Omeprazole 164,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Ranitidine 165,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Gliclazide 166,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Cetirizine 167,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Prednisolone 168,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Atorvastatin 169,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Levothyroxine 170,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ranitidine 171,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Aspirin 172,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Levothyroxine 173,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amoxicillin 174,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 175,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Ranitidine 176,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 177,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amoxicillin 178,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Ibuprofen 179,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Aspirin 180,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Telmisartan 181,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Aspirin 182,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Prednisolone 183,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Gliclazide 184,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Cetirizine 185,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amlodipine 186,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Paracetamol 187,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Cetirizine 188,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amoxicillin 189,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Omeprazole 190,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Paracetamol 191,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Aspirin 192,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Gliclazide 193,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amoxicillin 194,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Aspirin 195,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Levothyroxine 196,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Metformin 197,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Paracetamol 198,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ranitidine 199,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Aspirin 200,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Telmisartan 201,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Losartan 202,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Gliclazide 203,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Cetirizine 204,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Prednisolone 205,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amoxicillin 206,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amoxicillin 207,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Paracetamol 208,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Levothyroxine 209,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Cetirizine 210,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Gliclazide 211,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Gliclazide 212,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Prednisolone 213,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Aspirin 214,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Ranitidine 215,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ranitidine 216,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ranitidine 217,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Levothyroxine 218,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Metformin 219,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Levothyroxine 220,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amlodipine 221,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Telmisartan 222,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Prednisolone 223,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Omeprazole 224,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Metformin 225,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Gliclazide 226,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Telmisartan 227,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Aspirin 228,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 229,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Atorvastatin 230,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Losartan 231,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Atorvastatin 232,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Ranitidine 233,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Gliclazide 234,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amoxicillin 235,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Ranitidine 236,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Losartan 237,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Atorvastatin 238,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Gliclazide 239,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Metformin 240,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Paracetamol 241,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Metformin 242,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Prednisolone 243,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Prednisolone 244,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amlodipine 245,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Losartan 246,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Prednisolone 247,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Gliclazide 248,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Losartan 249,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Ranitidine 250,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Gliclazide 251,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ranitidine 252,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Paracetamol 253,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Amoxicillin 254,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 255,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Metformin 256,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Ranitidine 257,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Amoxicillin 258,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 259,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Amlodipine 260,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Gliclazide 261,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Atorvastatin 262,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Losartan 263,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Metformin 264,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Gliclazide 265,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amoxicillin 266,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 267,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Amoxicillin 268,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 269,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Paracetamol 270,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Metformin 271,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Omeprazole 272,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Paracetamol 273,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Losartan 274,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Atorvastatin 275,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Metformin 276,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
