Medicine_Name,Category,Symptoms
Prednisolone 98,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ranitidine 99,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 100,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Atorvastatin 101,Cholesterol,"High Cholesterol, Heart Disease"
Gliclazide 102,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Paracetamol 103,Pain Reliever,"Fever, Headache, Body Pain"
Aspirin 104,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Losartan 105,Blood Pressure,"Hypertension, Kidney Protection"
Losartan 106,Blood Pressure,"Hypertension, Kidney Protection"
Amoxicillin 107,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Telmisartan 108,Blood Pressure,"Hypertension, Cardiovascular Risk"
Cetirizine 109,Antihistamine,"Allergy, Sneezing, Runny Nose"
Losartan 110,Blood Pressure,"Hypertension, Kidney Protection"
Levothyroxine 111,Thyroid,"Hypothyroidism, Thyroid Disorders"
Losartan 112,Blood Pressure,"Hypertension, Kidney Protection"
Omeprazole 113,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Gliclazide 114,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amlodipine 115,Blood Pressure,"Hypertension, Angina"
Levothyroxine 116,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ranitidine 117,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Telmisartan 118,Blood Pressure,"Hypertension, Cardiovascular Risk"
Ranitidine 119,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Amoxicillin 120,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Aspirin 121,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Losartan 122,Blood Pressure,"Hypertension, Kidney Protection"
Amoxicillin 123,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Atorvastatin 124,Cholesterol,"High Cholesterol, Heart Disease"
Amoxicillin 125,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Atorvastatin 126,Cholesterol,"High Cholesterol, Heart Disease"
Cetirizine 127,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amoxicillin 128,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 129,Blood Pressure,"Hypertension, Angina"
Ranitidine 130,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Amoxicillin 131,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amoxicillin 132,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Ibuprofen 133,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Levothyroxine 134,Thyroid,"Hypothyroidism, Thyroid Disorders"
Aspirin 135,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Gliclazide 136,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Atorvastatin 137,Cholesterol,"High Cholesterol, Heart Disease"
Levothyroxine 138,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amlodipine 139,Blood Pressure,"Hypertension, Angina"
Aspirin 140,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Prednisolone 141,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amoxicillin 142,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Omeprazole 143,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Paracetamol 144,Pain Reliever,"Fever, Headache, Body Pain"
Cetirizine 145,Antihistamine,"Allergy, Sneezing, Runny Nose"
Aspirin 146,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Cetirizine 147,Antihistamine,"Allergy, Sneezing, Runny Nose"
Levothyroxine 148,Thyroid,"Hypothyroidism, Thyroid Disorders"
Prednisolone 149,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ibuprofen 150,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Losartan 151,Blood Pressure,"Hypertension, Kidney Protection"
Prednisolone 152,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ranitidine 153,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 154,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Omeprazole 155,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Atorvastatin 156,Cholesterol,"High Cholesterol, Heart Disease"
Levothyroxine 157,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ibuprofen 158,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Omeprazole 159,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Losartan 160,Blood Pressure,"Hypertension, Kidney Protection"
Atorvastatin 161,Cholesterol,"High Cholesterol, Heart Disease"
Levothyroxine 162,Thyroid,"Hypothyroidism, Thyroid Disorders"
Aspirin 163,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Omeprazole 164,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Ranitidine 165,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Gliclazide 166,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Cetirizine 167,Antihistamine,"Allergy, Sneezing, Runny Nose"
Prednisolone 168,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Atorvastatin 169,Cholesterol,"High Cholesterol, Heart Disease"
Levothyroxine 170,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ranitidine 171,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Aspirin 172,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Levothyroxine 173,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amoxicillin 174,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 175,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Ranitidine 176,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 177,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amoxicillin 178,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Ibuprofen 179,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Aspirin 180,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Telmisartan 181,Blood Pressure,"Hypertension, Cardiovascular Risk"
Aspirin 182,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Prednisolone 183,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Gliclazide 184,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Cetirizine 185,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amlodipine 186,Blood Pressure,"Hypertension, Angina"
Paracetamol 187,Pain Reliever,"Fever, Headache, Body Pain"
Cetirizine 188,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amoxicillin 189,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Omeprazole 190,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Paracetamol 191,Pain Reliever,"Fever, Headache, Body Pain"
Aspirin 192,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Gliclazide 193,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amoxicillin 194,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Aspirin 195,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Levothyroxine 196,Thyroid,"Hypothyroidism, Thyroid Disorders"
Metformin 197,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Paracetamol 198,Pain Reliever,"Fever, Headache, Body Pain"
Ranitidine 199,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Aspirin 200,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Telmisartan 201,Blood Pressure,"Hypertension, Cardiovascular Risk"
Losartan 202,Blood Pressure,"Hypertension, Kidney Protection"
Gliclazide 203,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Cetirizine 204,Antihistamine,"Allergy, Sneezing, Runny Nose"
Prednisolone 205,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amoxicillin 206,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amoxicillin 207,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Paracetamol 208,Pain Reliever,"Fever, Headache, Body Pain"
Levothyroxine 209,Thyroid,"Hypothyroidism, Thyroid Disorders"
Cetirizine 210,Antihistamine,"Allergy, Sneezing, Runny Nose"
Gliclazide 211,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Gliclazide 212,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Prednisolone 213,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Aspirin 214,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Ranitidine 215,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ranitidine 216,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ranitidine 217,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Levothyroxine 218,Thyroid,"Hypothyroidism, Thyroid Disorders"
Metformin 219,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Levothyroxine 220,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amlodipine 221,Blood Pressure,"Hypertension, Angina"
Telmisartan 222,Blood Pressure,"Hypertension, Cardiovascular Risk"
Prednisolone 223,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Omeprazole 224,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Metformin 225,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Gliclazide 226,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Telmisartan 227,Blood Pressure,"Hypertension, Cardiovascular Risk"
Aspirin 228,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 229,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Atorvastatin 230,Cholesterol,"High Cholesterol, Heart Disease"
Losartan 231,Blood Pressure,"Hypertension, Kidney Protection"
Atorvastatin 232,Cholesterol,"High Cholesterol, Heart Disease"
Ranitidine 233,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Gliclazide 234,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amoxicillin 235,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Ranitidine 236,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Losartan 237,Blood Pressure,"Hypertension, Kidney Protection"
Atorvastatin 238,Cholesterol,"High Cholesterol, Heart Disease"
Gliclazide 239,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Metformin 240,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Paracetamol 241,Pain Reliever,"Fever, Headache, Body Pain"
Metformin 242,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Prednisolone 243,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Prednisolone 244,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amlodipine 245,Blood Pressure,"Hypertension, Angina"
Losartan 246,Blood Pressure,"Hypertension, Kidney Protection"
Prednisolone 247,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Gliclazide 248,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Losartan 249,Blood Pressure,"Hypertension, Kidney Protection"
Ranitidine 250,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Gliclazide 251,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ranitidine 252,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Paracetamol 253,Pain Reliever,"Fever, Headache, Body Pain"
Amoxicillin 254,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 255,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Metformin 256,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Ranitidine 257,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Amoxicillin 258,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Telmisartan 259,Blood Pressure,"Hypertension, Cardiovascular Risk"
Amlodipine 260,Blood Pressure,"Hypertension, Angina"
Gliclazide 261,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Atorvastatin 262,Cholesterol,"High Cholesterol, Heart Disease"
Losartan 263,Blood Pressure,"Hypertension, Kidney Protection"
Metformin 264,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Gliclazide 265,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amoxicillin 266,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Telmisartan 267,Blood Pressure,"Hypertension, Cardiovascular Risk"
Amoxicillin 268,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 269,Blood Pressure,"Hypertension, Angina"
Paracetamol 270,Pain Reliever,"Fever, Headache, Body Pain"
Metformin 271,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Omeprazole 272,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Paracetamol 273,Pain Reliever,"Fever, Headache, Body Pain"
Losartan 274,Blood Pressure,"Hypertension, Kidney Protection"
Atorvastatin 275,Cholesterol,"High Cholesterol, Heart Disease"
Metformin 276,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Losartan 277,Blood Pressure,"Hypertension, Kidney Protection"
Metformin 278,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Amlodipine 279,Blood Pressure,"Hypertension, Angina"
Cetirizine 280,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amlodipine 281,Blood Pressure,"Hypertension, Angina"
Omeprazole 282,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Levothyroxine 283,Thyroid,"Hypothyroidism, Thyroid Disorders"
Aspirin 284,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Losartan 285,Blood Pressure,"Hypertension, Kidney Protection"
Telmisartan 286,Blood Pressure,"Hypertension, Cardiovascular Risk"
Prednisolone 287,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Telmisartan 288,Blood Pressure,"Hypertension, Cardiovascular Risk"
Telmisartan 289,Blood Pressure,"Hypertension, Cardiovascular Risk"
Metformin 290,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Amlodipine 291,Blood Pressure,"Hypertension, Angina"
Atorvastatin 292,Cholesterol,"High Cholesterol, Heart Disease"
Losartan 293,Blood Pressure,"Hypertension, Kidney Protection"
Ibuprofen 294,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Gliclazide 295,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Aspirin 296,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Omeprazole 297,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Gliclazide 298,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ibuprofen 299,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amlodipine 300,Blood Pressure,"Hypertension, Angina"
Amoxicillin 301,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Gliclazide 302,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Paracetamol 303,Pain Reliever,"Fever, Headache, Body Pain"
Amoxicillin 304,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Aspirin 305,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amlodipine 306,Blood Pressure,"Hypertension, Angina"
Gliclazide 307,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Atorvastatin 308,Cholesterol,"High Cholesterol, Heart Disease"
Ranitidine 309,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Levothyroxine 310,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amoxicillin 311,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Levothyroxine 312,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ibuprofen 313,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Ibuprofen 314,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Omeprazole 315,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Levothyroxine 316,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amoxicillin 317,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Gliclazide 318,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Aspirin 319,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Telmisartan 320,Blood Pressure,"Hypertension, Cardiovascular Risk"
Levothyroxine 321,Thyroid,"Hypothyroidism, Thyroid Disorders"
Metformin 322,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Telmisartan 323,Blood Pressure,"Hypertension, Cardiovascular Risk"
Gliclazide 324,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ranitidine 325,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 326,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Ibuprofen 327,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Aspirin 328,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Omeprazole 329,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Losartan 330,Blood Pressure,"Hypertension, Kidney Protection"
Losartan 331,Blood Pressure,"Hypertension, Kidney Protection"
Losartan 332,Blood Pressure,"Hypertension, Kidney Protection"
Prednisolone 333,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Levothyroxine 334,Thyroid,"Hypothyroidism, Thyroid Disorders"
Levothyroxine 335,Thyroid,"Hypothyroidism, Thyroid Disorders"
Gliclazide 336,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ranitidine 337,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Levothyroxine 338,Thyroid,"Hypothyroidism, Thyroid Disorders"
Omeprazole 339,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Atorvastatin 340,Cholesterol,"High Cholesterol, Heart Disease"
Ranitidine 341,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Omeprazole 342,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Aspirin 343,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Paracetamol 344,Pain Reliever,"Fever, Headache, Body Pain"
Amoxicillin 345,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Prednisolone 346,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Paracetamol 347,Pain Reliever,"Fever, Headache, Body Pain"
Paracetamol 348,Pain Reliever,"Fever, Headache, Body Pain"
Ranitidine 349,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Aspirin 350,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Ranitidine 351,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 352,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Ibuprofen 353,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Cetirizine 354,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amlodipine 355,Blood Pressure,"Hypertension, Angina"
Atorvastatin 356,Cholesterol,"High Cholesterol, Heart Disease"
Aspirin 357,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Omeprazole 358,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Gliclazide 359,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Losartan 360,Blood Pressure,"Hypertension, Kidney Protection"
Amoxicillin 361,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Levothyroxine 362,Thyroid,"Hypothyroidism, Thyroid Disorders"
Metformin 363,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Amlodipine 364,Blood Pressure,"Hypertension, Angina"
Levothyroxine 365,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amlodipine 366,Blood Pressure,"Hypertension, Angina"
Levothyroxine 367,Thyroid,"Hypothyroidism, Thyroid Disorders"
Paracetamol 368,Pain Reliever,"Fever, Headache, Body Pain"
Losartan 369,Blood Pressure,"Hypertension, Kidney Protection"
Cetirizine 370,Antihistamine,"Allergy, Sneezing, Runny Nose"
Losartan 371,Blood Pressure,"Hypertension, Kidney Protection"
Aspirin 372,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 373,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 374,Blood Pressure,"Hypertension, Angina"
Amlodipine 375,Blood Pressure,"Hypertension, Angina"
Prednisolone 376,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ibuprofen 377,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Cetirizine 378,Antihistamine,"Allergy, Sneezing, Runny Nose"
Aspirin 379,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Ibuprofen 380,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amoxicillin 381,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 382,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Gliclazide 383,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Gliclazide 384,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ranitidine 385,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ibuprofen 386,Pain Reliever,"Inflammation, Headache, Muscle Pain"
